site code,time,species,mean log pd Loads,lse
NY_WA,8.34516129,MYLU,-2.4608216,0.3121197
NY_WI,0.50645161,MYLU,-4.8588616,0.6015322
NY_WI,0.53870968,MYLU,-4.7921671,0.3248645
NY_WI,1.50645161,MYLU,-4.1156124,0.441404
NY_WI,7.44193548,EPFU,-2.4421484,0.6015322
NY_WI,7.44193548,MYLU,-1.4539087,0.503278
NY_WI,8.37741935,MYLU,-1.8467492,0.3859966
NY_LA,4.37741935,EPFU,-2.2268724,0.5305016
NY_LA,7.95806452,EPFU,-3.8035028,0.7117425
NY_WB,9.66774194,MYLU,-2.3676006,0.3859966
NY_WB,11.76451613,MYLU,-5.4128924,1.5915047
VA_WI,7.60322581,EPFU,-1.1633026,0.5305016
VA_WI,7.60322581,PESU,-0.728728,0.6497291
IL_ZI,3.37741935,EPFU,-1.999988,0.5305016
IL_ZI,3.37741935,MYLU,-1.822318,0.3558713
IL_ZI,3.37741935,MYSE,-0.5296813,0.3751212
IL_ZI,3.37741935,MYSO,-3.7482232,0.4253475
IL_ZI,3.37741935,PESU,-1.3548974,0.3558713
IL_ZI,7.47419355,EPFU,-2.0839475,0.3558713
IL_ZI,7.47419355,MYLU,-0.9258269,0.3651162
IL_ZI,7.47419355,MYSE,-2.845794,1.5915047
IL_ZI,7.47419355,MYSO,-2.3198684,0.441404
IL_ZI,7.47419355,PESU,-1.1716261,0.3651162
IL_ZI,7.53870968,EPFU,-2.6606388,0.4109247
IL_ZI,7.53870968,MYLU,-0.9855573,0.3558713
IL_ZI,7.53870968,MYSE,-0.7658487,0.3393099
MA_ZO,6.95806452,EPFU,-3.3894145,0.4798567
